Topic,Category,Department,Question,URLname,Answer,Service Type ID,Title,Summary,Visible to Customer,Visible in public Knowledge Base,Visible to Partner
Claims,General,City Clerk's Office,How do I file a claim against the City of Fontana?,How-do-I-file-a-claim-against-the-City-of-Fontana,"Print or fill out the ""CLAIM AGAINST THE 
CITY OF FONTANA"" https://www.fontana.org/314/Claims form and present to the City Clerk's Office.

NOTE:  Information entered in the form (such as Social Security Number) is not stored.  Once you leave the screen, information is erased and information will need to be re-entered.",NA,How do I file a claim against the City of Fontana?,"Print or fill out the ""CLAIM AGAINST THE 
CITY OF FONTANA"" https://www.fontana.org/314/Claims form and present to the City Clerk's Office.

NOTE:  Information entered in the form (such as Social Security Number) is not stored.  Once you leave the screen, information is erased and information will need to be re-entered.",TRUE,TRUE,TRUE
Claims,General,City Clerk's Office,"How will I know that my claim has been received?

","How-will-I-know-that-my-claim-has-been-received

",The party filing the claim will receive a phone call from Carl Warren & Company within a week of filing the claim with the City Clerk's Office. You will also receive a claim acknowledgement letter from the adjuster handing the claim.,NA,"How will I know that my claim has been received?

",The party filing the claim will receive a phone call from Carl Warren & Company within a week of filing the claim with the City Clerk's Office. You will also receive a claim acknowledgement letter from the adjuster handing the claim.,TRUE,TRUE,TRUE
Claims,General,City Clerk's Office,When will you tell me what my claims status is?,When-will-you-tell-me-what-my-claims-status-is,The party filing the claim will receive a letter regarding whether the claim is accepted or denied within 45 days.,NA,When will you tell me what my claims status is?,The party filing the claim will receive a letter regarding whether the claim is accepted or denied within 45 days.,TRUE,TRUE,TRUE
Claims,General,City Clerk's Office,Who do I contact if I have questions about my claim?,Who-do-I-contact-if-I-have-questions-about-my-claim,"If the party has additional questions regarding their claim they should contact our Third Party Administrator, Carl Warren & Company. Please see information below.

Contact Information:
Carl Warren & Company 
17862 N. 17th Street. #111 Tustin, CA 92780
(657) 622-4200

Claims Adjustors:
Kimberly Smith | 909) 763-4310 | ksmith@carlwarren.com
Stephanie Carter  | (909) 566-1588 | scarter@carwarren.com








",NA,Who do I contact if I have questions about my claim?,"If the party has additional questions regarding their claim they should contact our Third Party Administrator, Carl Warren & Company. Please see information below.

Contact Information:
Carl Warren & Company 
17862 N. 17th Street. #111 Tustin, CA 92780
(657) 622-4200

Claims Adjustors:
Kimberly Smith | 909) 763-4310 | ksmith@carlwarren.com
Stephanie Carter  | (909) 566-1588 | scarter@carwarren.com








",TRUE,TRUE,TRUE
Code Compliance Information,Code_Compliance,Code Compliance,How can I contact the Code Compliance Inspector?,How-can-I-contact-the-Code-Compliance-Inspector,"If your case has been assigned to the code compliance Inspector, call the inspector at their direct number. 

If this is a new case/ complaint,  you may contact the office (909) 854-8021",NA,How can I contact the Code Compliance Inspector?,"If your case has been assigned to the code compliance Inspector, call the inspector at their direct number. 

If this is a new case/ complaint,  you may contact the office (909) 854-8021",TRUE,TRUE,TRUE
Dead Animal,Animal_Services,Animal Services,My pet died.  Who can help?,My-pet-died---Who-can-help,Fontana Animal Services does not pick up deceased owned pets. Fontana Residents can take it to their local veterinarian or Riverside County Animal Shelter. Each location will asses their own set of fees.,NA,My pet died.  Who can help?,Fontana Animal Services does not pick up deceased owned pets. Fontana Residents can take it to their local veterinarian or Riverside County Animal Shelter. Each location will asses their own set of fees.,TRUE,TRUE,TRUE
Dead Animal,Animal_Services,Animal Services,Who removes dead animals in the street or sidewalk?,Who-removes-dead-animals-in-the-street-or-sidewalk,"Fontana City Animal Services Officer will respond to requests to remove a dead animal from the public right-of-way. The public right of way is defined as the sidewalk, street, or gutter.

To report a dead animal in the public right of way, please submit a request [link form to be built] or call (909) 350-7700.",ASDANIMAL,Who removes dead animals in the street or sidewalk?,"Fontana City Animal Services Officer will respond to requests to remove a dead animal from the public right-of-way. The public right of way is defined as the sidewalk, street, or gutter.

To report a dead animal in the public right of way, please submit a request [link form to be built] or call (909) 350-7700.",TRUE,TRUE,TRUE
Dog Barking,Animal_Services,Animal Services,What can be done about excessive barking?,What-can-be-done-about-excessive-barking,"Municipal Noise Code, Fontana Municipal Code Section 18.63(B)(3)

Under this code, it is illegal to harbor or keep an animal that habitually barks, whines or makes loud noises in such a manner as to disturb the peace of the neighborhood.

While we try to educate the dog owner with possible solutions, it is unrealistic to think the problem can be rectified immediately. There are certainly some distractions that could be considered acceptable, such as cats, wildlife, trespassers, and playing. Even though there may be acceptable forms of barking, they will not necessarily be considered as an acceptable excuse for excessive or annoying barking. Please recognize that behavior modification is not an overnight occurrence, and that changing behavior will take time and patience.

We recommend that you speak with the dog owner about the problem and explain that the barking is disturbing. Many owners believe that if there are no complaints, then the neighbors are comfortable with the situation. Often, however, the owners are not home during the episodes and are completely unaware of the problem.

If barking continues, please call the non-emergency Police Department phone number (909)350-7700 and provide the following

â€¢ The exact address where the dog lives

â€¢ Your first and last name, as well as your mailing address.

Barking dog complaints will not be accepted anonymously.

You can also fill out a Service Request here (link)

After filing a complaint, the following will take place:

A notice will be mailed to the dog owner. The complainant's personal information is not provided to the dog owner at this point. The dog owner is given fourteen days to correct the habitual animal noise. On the fifteenth day of the dog owner being made aware of the noise complaint and if the noise complaint isn't modified to a reasonable level, you can contact Fontana Police Department Non-Emergency at (909) 350-7700 again. At this point the reporting party can request a Noise Complaint Document log. Noise Complaint Document log must be completed and returned to the Fontana Police Department with fifteen days. For the department to issue a citation on the complainant's behalf these forms are required. If when court action is required, the reporting party will be required to testify and convince a judge that the pet/property owner is in violation of the city code.",ASBARKING,What can be done about excessive barking?,"Municipal Noise Code, Fontana Municipal Code Section 18.63(B)(3)

Under this code, it is illegal to harbor or keep an animal that habitually barks, whines or makes loud noises in such a manner as to disturb the peace of the neighborhood.

While we try to educate the dog owner with possible solutions, it is unrealistic to think the problem can be rectified immediately. There are certainly some distractions that could be considered acceptable, such as cats, wildlife, trespassers, and playing. Even though there may be acceptable forms of barking, they will not necessarily be considered as an acceptable excuse for excessive or annoying barking. Please recognize that behavior modification is not an overnight occurrence, and that changing behavior will take time and patience.

We recommend that you speak with the dog owner about the problem and explain that the barking is disturbing. Many owners believe that if there are no complaints, then the neighbors are comfortable with the situation. Often, however, the owners are not home during the episodes and are completely unaware of the problem.

If barking continues, please call the non-emergency Police Department phone number (909)350-7700 and provide the following

â€¢ The exact address where the dog lives

â€¢ Your first and last name, as well as your mailing address.

Barking dog complaints will not be accepted anonymously.

You can also fill out a Service Request here (link)

After filing a complaint, the following will take place:

A notice will be mailed to the dog owner. The complainant's personal information is not provided to the dog owner at this point. The dog owner is given fourteen days to correct the habitual animal noise. On the fifteenth day of the dog owner being made aware of the noise complaint and if the noise complaint isn't modified to a reasonable level, you can contact Fontana Police Department Non-Emergency at (909) 350-7700 again. At this point the reporting party can request a Noise Complaint Document log. Noise Complaint Document log must be completed and returned to the Fontana Police Department with fifteen days. For the department to issue a citation on the complainant's behalf these forms are required. If when court action is required, the reporting party will be required to testify and convince a judge that the pet/property owner is in violation of the city code.",TRUE,TRUE,TRUE
Dumpsters,Waste_Services,Solid Waste,Can I contract with the City to provide commercial dumpster services?,Can-I-contract-with-the-City-to-provide-commercial-dumpster-services,Please contact Burrtec for more information:  www.burrtec.com,NA,Can I contract with the City to provide commercial dumpster services?,Please contact Burrtec for more information:  www.burrtec.com,TRUE,TRUE,TRUE
Dumpsters,Waste_Services,Solid Waste,Is it mandatory to lock a commercial dumpster?,Is-it-mandatory-to-lock-a-commercial-dumpster,Burrtec is Fontana's solid waste company.  Please contact Burrtec directly if you need assistance (http://www.burrtec.com),NA,Is it mandatory to lock a commercial dumpster?,Burrtec is Fontana's solid waste company.  Please contact Burrtec directly if you need assistance (http://www.burrtec.com),TRUE,TRUE,TRUE
Elections,General,City Clerk's Office,What Council District am I in?,What-Council-District-am-I-in,To find out your electoral district please see our district maps located here: https://fontanaca.maps.arcgis.com/apps/webappviewer/index.html?id=ab21b5c5e592499f97f899b491138cc8,NA,What Council District am I in?,To find out your electoral district please see our district maps located here: https://fontanaca.maps.arcgis.com/apps/webappviewer/index.html?id=ab21b5c5e592499f97f899b491138cc8,TRUE,TRUE,TRUE
Elections,General,City Clerk's Office,How do I register to vote?,How-do-I-register-to-vote,"For voter registration, please visit the Secretary of State webpage at https://www.sos.ca.gov/elections",NA,How do I register to vote?,"For voter registration, please visit the Secretary of State webpage at https://www.sos.ca.gov/elections",TRUE,TRUE,TRUE
Employment,General,General,Where can I get information regarding open positions with the City of Fontana?,Where-can-I-get-information-regarding-open-positions-with-the-City-of-Fontana,Click here to go to the City of Fontana's Careers website (https://www.governmentjobs.com/careers/fontanaCA),NA,Where can I get information regarding open positions with the City of Fontana?,Click here to go to the City of Fontana's Careers website (https://www.governmentjobs.com/careers/fontanaCA),TRUE,TRUE,TRUE
Employment,General,General,Where can I get information regarding open positions with Kaiser Permanente?,Where-can-I-get-information-regarding-open-positions-with-Kaiser-Permanente,Click here to go to Kaiser Permanente's Careers website (https://www.kaiserpermanentejobs.org/?kp_shortcut_referrer=kp.org/careers),NA,Where can I get information regarding open positions with Kaiser Permanente?,Click here to go to Kaiser Permanente's Careers website (https://www.kaiserpermanentejobs.org/?kp_shortcut_referrer=kp.org/careers),TRUE,TRUE,TRUE
Employment,General,General,How do I volunteer with the City of Fontana?,How-do-I-volunteer-with-the-City-of-Fontana,Everyone benefits when someone chooses to volunteer! Volunteers are essential to providing quality services to our community. Volunteer opportunities exist throughout the City of Fontana from administration to recreation. Please click on the link to see opportunities that are available to you as well as download an application. (https://www.fontana.org/327/Volunteers),NA,How do I volunteer with the City of Fontana?,Everyone benefits when someone chooses to volunteer! Volunteers are essential to providing quality services to our community. Volunteer opportunities exist throughout the City of Fontana from administration to recreation. Please click on the link to see opportunities that are available to you as well as download an application. (https://www.fontana.org/327/Volunteers),TRUE,TRUE,TRUE
Employment,General,General,Where can I get EDD information?,Where-can-I-get-EDD-information,Please visit  https://edd.ca.gov/,NA,Where can I get EDD information?,Please visit  https://edd.ca.gov/,TRUE,TRUE,TRUE
"E-waste, Medications, Sharps Disposal",Waste_Services,Solid Waste,"How can I schedule an E-waste/Electronics Pickup, Chemicals, medications and Sharps?",How-can-I-schedule-an-E-waste-Electronics-Pickup--Chemicals--medications-and-Sharps,Please visit our e-waste website here for more information: https://www.fontana.org/606/Electronic-Collection]. ,NA,"How can I schedule an E-waste/Electronics Pickup, Chemicals, medications and Sharps?",Please visit our e-waste website here for more information: https://www.fontana.org/606/Electronic-Collection]. ,TRUE,TRUE,TRUE
Fencing,Code_Compliance,Code Compliance,Can a commercial property be fenced?,Can-a-commercial-property-be-fenced,A permit may be required for fences on or around a commercial property.,NA,Can a commercial property be fenced?,A permit may be required for fences on or around a commercial property.,TRUE,TRUE,TRUE
Fencing,Building_and_Planning,Building,Is fencing required around a pool?,Is-fencing-required-around-a-pool,"Yes, the City's fencing requirements may be located on the Building & Safety webpage at (link: https://www.fontana.org/DocumentCenter/View/30802/Swimming-Pool-Fencing-Requirements)",NA,Is fencing required around a pool?,"Yes, the City's fencing requirements may be located on the Building & Safety webpage at (link: https://www.fontana.org/DocumentCenter/View/30802/Swimming-Pool-Fencing-Requirements)",TRUE,TRUE,TRUE
Fontana activities and programs,Recreation,Recreation,"Where can I find information about all City of Fontana classes, activities, programs, and events?",Where-can-I-find-information-about-all-City-of-Fontana-classes--activities--programs--and-events,"A listing of our city classes, activities, programs, and events can be found online by visiting our website at http://www.fontanarecreation.org and selecting the â€œregistrationâ€.",NA,"Where can I find information about all City of Fontana classes, activities, programs, and events?","A listing of our city classes, activities, programs, and events can be found online by visiting our website at http://www.fontanarecreation.org and selecting the â€œregistrationâ€.",TRUE,TRUE,TRUE
Fontana activities and programs,Recreation,Recreation,"I want to enroll my child in gymnastics class, there's no way to do it online.",I-want-to-enroll-my-child-in-gymnastics-class--there-s-no-way-to-do-it-online-,Registrations for gymnastics can only be done in person at the location the class will be held.,NA,"I want to enroll my child in gymnastics class, there's no way to do it online.",Registrations for gymnastics can only be done in person at the location the class will be held.,TRUE,TRUE,TRUE
Fontana activities and programs,Recreation,Recreation,"I want to hold an event at a park for my organization, what do I need to do?",I-want-to-hold-an-event-at-a-park-for-my-organization--what-do-I-need-to-do,"To hold an organized event at a park, a Special Events Application is necessary. The application can be found on our website at http://www.fontanarecreation.org, as well as more information about the process, or at the Community Services Office. For more information, please contact the Special Events division at (909) 349-6953.",NA,"I want to hold an event at a park for my organization, what do I need to do?","To hold an organized event at a park, a Special Events Application is necessary. The application can be found on our website at http://www.fontanarecreation.org, as well as more information about the process, or at the Community Services Office. For more information, please contact the Special Events division at (909) 349-6953.",TRUE,TRUE,TRUE
Fontana activities and programs,General,Recreation,Can I fulfill court-mandated community service hours with the Community Services Department?,Can-I-fulfill-court-mandated-community-service-hours-with-the-Community-Services-Department,"No, we only offer volunteer hours.",NA,Can I fulfill court-mandated community service hours with the Community Services Department?,"No, we only offer volunteer hours.",TRUE,TRUE,TRUE
Fontana activities and programs,Recreation,Recreation,Where can I find the City of Fontana Activities Brochure?,Where-can-I-find-the-City-of-Fontana-Activities-Brochure,The Activities Brochure can be found at any City of Fontana community center or online by visiting our website at www.fontanarecreation.org,NA,Where can I find the City of Fontana Activities Brochure?,The Activities Brochure can be found at any City of Fontana community center or online by visiting our website at www.fontanarecreation.org,TRUE,TRUE,TRUE
Garbage Cans,Waste_Services,Solid Waste,"I am missing a garbage, recycle, or lawn can. Will the City deliver a replacement?",I-am-missing-a-garbage--recycle--or-lawn-can--Will-the-City-deliver-a-replacement,"The City will replace a missing container free of charge.

Property owners may order additional containers  at the following rates:

Additional Garbage container, monthly
â€¢	96 Gallon - $X.XX
â€¢	64 Gallon - $X.XX
â€¢	32 Gallon - $X.XX

Additional Recycle container, monthly
â€¢	$X.XX regardless of size

Additional Lawn & Garden/Organics container, monthly
â€¢	90 Gallon- $X.XX

To request a replacement or additional garbage, recycle, or lawn container, please submit a request [link]. ",TBD,"I am missing a garbage, recycle, or lawn can. Will the City deliver a replacement?","The City will replace a missing container free of charge.

Property owners may order additional containers  at the following rates:

Additional Garbage container, monthly
â€¢	96 Gallon - $X.XX
â€¢	64 Gallon - $X.XX
â€¢	32 Gallon - $X.XX

Additional Recycle container, monthly
â€¢	$X.XX regardless of size

Additional Lawn & Garden/Organics container, monthly
â€¢	90 Gallon- $X.XX

To request a replacement or additional garbage, recycle, or lawn container, please submit a request [link]. ",TRUE,TRUE,TRUE
Garbage Cans,Waste_Services,Solid Waste,"How can I change the size of my garbage, recycle, or lawn, and garden can?",How-can-I-change-the-size-of-my-garbage--recycle--or-lawn--and-garden-can,"For trash related questions, please call Burrtec at 909-987-3717 or visit Burrtec.com",NA,"How can I change the size of my garbage, recycle, or lawn, and garden can?","For trash related questions, please call Burrtec at 909-987-3717 or visit Burrtec.com",TRUE,TRUE,TRUE
Garbage Truck Noise,Waste_Services,Solid Waste,How can I submit a complaint about garbage truck noise?,How-can-I-submit-a-complaint-about-garbage-truck-noise,Complaints regrading trash pickup trucks should be logged against Burrtec: www.burrtec.com,NA,How can I submit a complaint about garbage truck noise?,Complaints regrading trash pickup trucks should be logged against Burrtec: www.burrtec.com,TRUE,TRUE,TRUE
Graffiti,Code_Compliance,Code Compliance,What can I do about graffiti in my neighborhood or on my property? ,What-can-I-do-about-graffiti-in-my-neighborhood-or-on-my-property-,"Graffiti is a crime and graffiti in progress should be reported to the Fontana Police Department immediately. If you witness graffiti in progress, please call non-emergency police at (909) 350-7700.

If you see graffiti on public property, please contact Public Works at (909) 350-6760. If you see graffiti on a private property, please submit a request here.",CODEGRAF,What can I do about graffiti in my neighborhood or on my property? ,"Graffiti is a crime and graffiti in progress should be reported to the Fontana Police Department immediately. If you witness graffiti in progress, please call non-emergency police at (909) 350-7700.

If you see graffiti on public property, please contact Public Works at (909) 350-6760. If you see graffiti on a private property, please submit a request here.",TRUE,TRUE,TRUE
Handicap Placards,Public_Safety,Police,I have a valid placard-holder but I received a fine.  What can I do?,I-have-a-valid-placard-holder-but-I-received-a-fine---What-can-I-do,To file a Late Collision report involving a Hit & Run please visit our website at fontana.org.  To file any other Late Collision report please visit the front lobby.,,I have a valid placard-holder but I received a fine.  What can I do?,To file a Late Collision report involving a Hit & Run please visit our website at fontana.org.  To file any other Late Collision report please visit the front lobby.,TRUE,TRUE,TRUE
Hazardous Waste Disposal,Waste_Services,Solid Waste,How can I dispose of hazardous waste?,How-can-I-dispose-of-hazardous-waste,"Products, such as paint cleaners, oil, batteries, and pesticides require special care and should not be thrown into residential waste containers. These products may contain corrosive, toxic, ignitable, or reactive ingredients and are considered household hazardous waste (HHW). 

To get more information about household hazardous waste and other eWaste information, visit our website: https://www.fontana.org/606/Electronic-Collection",NA,How can I dispose of hazardous waste?,"Products, such as paint cleaners, oil, batteries, and pesticides require special care and should not be thrown into residential waste containers. These products may contain corrosive, toxic, ignitable, or reactive ingredients and are considered household hazardous waste (HHW). 

To get more information about household hazardous waste and other eWaste information, visit our website: https://www.fontana.org/606/Electronic-Collection",TRUE,TRUE,TRUE
Home Business,Code_Compliance,Code Compliance,Do home-based businesses require a license?,Do-home-based-businesses-require-a-license,"Businesses located at a residential address within city limits must obtain and maintain a home occupation permit. 

However, businesses with inventory, employees and customers are not allowed.

Visit here to get a permit. https://bl.fontana.org",NA,Do home-based businesses require a license?,"Businesses located at a residential address within city limits must obtain and maintain a home occupation permit. 

However, businesses with inventory, employees and customers are not allowed.

Visit here to get a permit. https://bl.fontana.org/",TRUE,TRUE,TRUE
Homelessness,Homeless_Camp,Homelessness,What should I do if I see someone in the street asking for money?,What-should-I-do-if-I-see-someone-in-the-street-asking-for-money,Pedestrians in the roadway pose a lot of hazards including traffic collisions and assaults. It is very dangerous and illegal. The City of Fontana and the Fontana Police Department encourage you NOT to give money to someone putting themselves in harms way and instead give to a non-profit group that offer support to those in need. Please do not stop in traffic lanes to give someone something. If you see someone in the roadway causing a hazard you should notify the Fontana Police Department traffic unit when it is safe to do so (909) 350-7700.,NA,What should I do if I see someone in the street asking for money?,Pedestrians in the roadway pose a lot of hazards including traffic collisions and assaults. It is very dangerous and illegal. The City of Fontana and the Fontana Police Department encourage you NOT to give money to someone putting themselves in harms way and instead give to a non-profit group that offer support to those in need. Please do not stop in traffic lanes to give someone something. If you see someone in the roadway causing a hazard you should notify the Fontana Police Department traffic unit when it is safe to do so (909) 350-7700.,TRUE,TRUE,TRUE
Homelessness,Homeless_Camp,Homelessness,What do I do if I see trash left behind from a camp or homeless person?,What-do-I-do-if-I-see-trash-left-behind-from-a-camp-or-homeless-person,"Trash can pose a hazard and should not be handled unless you know what it is. If you see trash or rubbish left behind from a homeless individual or camp, you should notify the City of Fontana Public Works Department for removal by clicking here.",HOMELESSCLEANUP,What do I do if I see trash left behind from a camp or homeless person?,"Trash can pose a hazard and should not be handled unless you know what it is. If you see trash or rubbish left behind from a homeless individual or camp, you should notify the City of Fontana Public Works Department for removal by clicking here.",TRUE,TRUE,TRUE
Homelessness,Homeless_Camp,Homelessness,What should I do if someone is sleeping on a sidewalk or obstructing a business?,What-should-I-do-if-someone-is-sleeping-on-a-sidewalk-or-obstructing-a-business,"Although most homeless residents do not pose a threat, someone being awoken from a deep sleep could be startled and defensive. If you see someone asleep and you are concerned about their safety or they are posing a hazard, you should contact the Fontana Police Department's MET Team. 909-350-7700",,What should I do if someone is sleeping on a sidewalk or obstructing a business?,"Although most homeless residents do not pose a threat, someone being awoken from a deep sleep could be startled and defensive. If you see someone asleep and you are concerned about their safety or they are posing a hazard, you should contact the Fontana Police Department's MET Team. 909-350-7700",TRUE,TRUE,TRUE
Homelessness,Homeless_Camp,Homelessness,What should I do if I see a tent set up near my house?,What-should-I-do-if-I-see-a-tent-set-up-near-my-house,"The City of Fontana is concerned with the quality of life for all its residents. There are ordinances established to keep residents safe. If you see a tent being set up on public property you should contact the Fontana Police Department's MET team. The MET team is a specialized unit that specializes in quality-of-life issues as well as enforcing city ordinances, state and federal laws. The MET team also works closely with SWAG- Social Workers Action Group as well as several non-profit groups to offer support and assistance to those in need.",HOMELESSREPORT,What should I do if I see a tent set up near my house?,"The City of Fontana is concerned with the quality of life for all its residents. There are ordinances established to keep residents safe. If you see a tent being set up on public property you should contact the Fontana Police Department's MET team. The MET team is a specialized unit that specializes in quality-of-life issues as well as enforcing city ordinances, state and federal laws. The MET team also works closely with SWAG- Social Workers Action Group as well as several non-profit groups to offer support and assistance to those in need.",TRUE,TRUE,TRUE
Household Junk Pickup,Waste_Services,Solid Waste,How can I schedule a household junk pick-up?,How-can-I-schedule-a-household-junk-pick-up,Please contact Burrtec directly to schedule a pickup: www.burrtec.om,NA,How can I schedule a household junk pick-up?,Please contact Burrtec directly to schedule a pickup: www.burrtec.om,TRUE,TRUE,TRUE
Household Junk Pickup,Waste_Services,Solid Waste,"I've used my free junk appointments, can I pay for a pickup?",I-ve-used-my-free-junk-appointments--can-I-pay-for-a-pickup,Please contact Burrtec directly: www.burrtec.om,NA,"I've used my free junk appointments, can I pay for a pickup?",Please contact Burrtec directly: www.burrtec.om,TRUE,TRUE,TRUE
Household Junk Pickup,Waste_Services,Solid Waste,Can a household junk pick up be scheduled if I live on a private street?,Can-a-household-junk-pick-up-be-scheduled-if-I-live-on-a-private-street,Please contact Burrtec for more information:  www.burrtec.com,NA,Can a household junk pick up be scheduled if I live on a private street?,Please contact Burrtec for more information:  www.burrtec.com,TRUE,TRUE,TRUE
Housing,Code_Compliance,Code Compliance,Can the City enforce City code at a rental property?,Can-the-City-enforce-City-code-at-a-rental-property,"Yes, The City of Fontana will enforce the city municipal codes.  Please submit a request here.",CODEHOUSEC,Can the City enforce City code at a rental property?,"Yes, The City of Fontana will enforce the city municipal codes.  Please submit a request here.",TRUE,TRUE,TRUE
Housing,Code_Compliance,Code Compliance,Is there a requirement to maintain a vacant property?,Is-there-a-requirement-to-maintain-a-vacant-property,"Property owners must comply with City code standards. The property must be free of trash, junk, debris, and graffiti on the property. 

To report an unkept vacant property, please submit a request.",CODEHOUSEC,Is there a requirement to maintain a vacant property?,"Property owners must comply with City code standards. The property must be free of trash, junk, debris, and graffiti on the property. 

To report an unkept vacant property, please submit a request.",TRUE,TRUE,TRUE
Illegal Activity,Public_Safety,PD,How can I report criminal activity taking place at a park?,How-can-I-report-criminal-activity-taking-place-at-a-park,"If you observe criminal activity, emergency or life-threatening event in a City park, please dial 911.",NA,How can I report criminal activity taking place at a park?,"If you observe criminal activity, emergency or life-threatening event in a City park, please dial 911.",TRUE,TRUE,TRUE
Illegal Activity,Parks,Parks,Is drinking or smoking allowed in City parks?,Is-drinking-or-smoking-allowed-in-City-parks,"The consumption of alcoholic beverages or smoking of any kind is prohibited in City parks at all times.Â 

To report this activity call (909) 350-7700. ",NA,Is drinking or smoking allowed in City parks?,"The consumption of alcoholic beverages or smoking of any kind is prohibited in City parks at all times.Â 

To report this activity call (909) 350-7700. ",TRUE,TRUE,TRUE
Illegal Dumping,Waste_Services,Solid Waste,How does the City address illegal dumping?,How-does-the-City-address-illegal-dumping,"Illegal dumping is a crime and a blight on our neighborhoods.

If you see a pile of debris on a public street- don't wait - report it. Piles left behind frequently become dumping grounds for additional material. The faster the problem is reported, the sooner enforcement and removal can begin.

If you witness illegal dumping in progress, please note the license plate, vehicle make and model, and description of the violator and notify non-emergency police at (909) 350-6067.

You may submit a request to clean up here (link).",STREETSDUMP,How does the City address illegal dumping?,"Illegal dumping is a crime and a blight on our neighborhoods.

If you see a pile of debris on a public street- don't wait - report it. Piles left behind frequently become dumping grounds for additional material. The faster the problem is reported, the sooner enforcement and removal can begin.

If you witness illegal dumping in progress, please note the license plate, vehicle make and model, and description of the violator and notify non-emergency police at (909) 350-6067.

You may submit a request to clean up here (link).",TRUE,TRUE,TRUE
Illegal Parking,Public_Safety,Police,Are parked vehicles allowed to block a driveway?,Are-parked-vehicles-allowed-to-block-a-driveway,"A parked vehicle may not block a driveway. 

If your driveway is being blocked by a vehicle, and you would like it towed, please contact non-emergency police at (909) 350-7700.",NA,Are parked vehicles allowed to block a driveway?,"A parked vehicle may not block a driveway. 

If your driveway is being blocked by a vehicle, and you would like it towed, please contact non-emergency police at (909) 350-7700.",TRUE,TRUE,TRUE
Illegal Parking,Code_Compliance,Code Compliance,"Can a vehicle be parked on grass, dirt or gravel?",Can-a-vehicle-be-parked-on-grass--dirt-or-gravel,"It is against City code to park a vehicle on an unimproved surface regardless of whether the vehicle is visible from the street. An unimproved surface includes but is not limited to, lawn, dirt, gravel, or anything other than a cemented area. 

To report a vehicle parked on an unimproved surface please submit a request",CODEVHCUNPAVED,"Can a vehicle be parked on grass, dirt or gravel?","It is against City code to park a vehicle on an unimproved surface regardless of whether the vehicle is visible from the street. An unimproved surface includes but is not limited to, lawn, dirt, gravel, or anything other than a cemented area. 

To report a vehicle parked on an unimproved surface please submit a request",TRUE,TRUE,TRUE
Illegal Parking,Public_Safety,Police,Can I block the street to prevent or reserve parking?,Can-I-block-the-street-to-prevent-or-reserve-parking,"The street is a public right-of-way and cannot be blocked or reserved unless a permit has been issued. Placing trash cans, signs, or other objects to save parking is prohibited. 

To report a public street being illegally blocked, please call (909) 350-7700. ",NA,Can I block the street to prevent or reserve parking?,"The street is a public right-of-way and cannot be blocked or reserved unless a permit has been issued. Placing trash cans, signs, or other objects to save parking is prohibited. 

To report a public street being illegally blocked, please call (909) 350-7700. ",TRUE,TRUE,TRUE
Illegal Parking,Code_Compliance,Code Compliance,Can an inoperable or junk vehicle be stored on a driveway?,Can-an-inoperable-or-junk-vehicle-be-stored-on-a-driveway,"Inoperative, wrecked or dismantled vehicles can inspire negative perceptions about a neighborhood, and affect property values as well as safety.

City code prohibits storing an inoperable or junk vehicle in a driveway or on the property  visible from public view.

Storage of an unattractive vehicle is not a violation as long as the vehicle is capable of being driven.

To report an inoperable or junk vehicle please submit a request.",CODEOFFVEHIC,Can an inoperable or junk vehicle be stored on a driveway?,"Inoperative, wrecked or dismantled vehicles can inspire negative perceptions about a neighborhood, and affect property values as well as safety.

City code prohibits storing an inoperable or junk vehicle in a driveway or on the property  visible from public view.

Storage of an unattractive vehicle is not a violation as long as the vehicle is capable of being driven.

To report an inoperable or junk vehicle please submit a request.",TRUE,TRUE,TRUE
Illegal Parking,Code_Compliance,Code Compliance,How long can a vehicle be parked on the street? When is it considered abandoned?,How-long-can-a-vehicle-be-parked-on-the-street-When-is-it-considered-abandoned,"A vehicle is allowed to be parked along a public street, so long as it is in compliance with area parking regulations and is not blocking a driveway, fire hydrant, or parked too close to a stop sign.

Vehicles cannot be parked on a public street for more than 72 consecutive hours without moving. Vehicles must be driven at least every 72 hours if parked on the street. Simply moving a vehicle a few feet does not qualify as driving the vehicle. Vehicles parked on a public street may be towed immediately if wrecked or dismantled or more than six (6) months out of registration.

Unattached trailers may be parked on a public street for up to 4 hours.

Vehicles abandoned on private property are the responsibility of the property owner and must be towed at the property owner's expense.

To report an abandoned vehicle, please submit a request.",CODEABAND72HRS,How long can a vehicle be parked on the street? When is it considered abandoned?,"A vehicle is allowed to be parked along a public street, so long as it is in compliance with area parking regulations and is not blocking a driveway, fire hydrant, or parked too close to a stop sign.

Vehicles cannot be parked on a public street for more than 72 consecutive hours without moving. Vehicles must be driven at least every 72 hours if parked on the street. Simply moving a vehicle a few feet does not qualify as driving the vehicle. Vehicles parked on a public street may be towed immediately if wrecked or dismantled or more than six (6) months out of registration.

Unattached trailers may be parked on a public street for up to 4 hours.

Vehicles abandoned on private property are the responsibility of the property owner and must be towed at the property owner's expense.

To report an abandoned vehicle, please submit a request.",TRUE,TRUE,TRUE
